PRODID,HOUR,PRICE,BID
1,1,20,0.06
1,2,14,0.06
1,3,11,0.06
1,4,9,0.06
1,5,6,0.06
1,6,8,0.06
1,7,13,0.06
1,8,21,0.06
1,9,27,0.06
1,10,35,0.06
1,11,41,0.06
1,12,46,0.06
1,13,47,0.06
1,14,50,0.06
1,15,47,0.06
1,16,47,0.06
1,17,46,0.06
1,18,46,0.06
1,19,44,0.06
1,20,37,0.06
1,21,32,0.06
1,22,30,0.06
1,23,29,0.06
1,0,24,0.06
2,1,11,0.06
2,2,9,0.06
2,3,7,0.06
2,4,5,0.06
2,5,4,0.06
2,6,5,0.06
2,7,8,0.06
2,8,12,0.06
2,9,17,0.06
2,10,21,0.06
2,11,26,0.06
2,12,27,0.06
2,13,28,0.06
2,14,29,0.06
2,15,29,0.06
2,16,28,0.06
2,17,28,0.06
2,18,30,0.06
2,19,26,0.06
2,20,22,0.06
2,21,20,0.06
2,22,18,0.06
2,23,18,0.06
2,0,15,0.06
3,1,4,0.06
3,2,2,0.06
3,3,2,0.06
3,4,1,0.06
3,5,1,0.06
3,6,1,0.06
3,7,2,0.06
3,8,4,0.06
3,9,5,0.06
3,10,7,0.06
3,11,7,0.06
3,12,9,0.06
3,13,9,0.06
3,14,8,0.06
3,15,10,0.06
3,16,8,0.06
3,17,9,0.06
3,18,9,0.06
3,19,8,0.06
3,20,6,0.06
3,21,5,0.06
3,22,6,0.06
3,23,5,0.06
3,0,4,0.06
