DATE,HOUR,PRODID,IMPRESSIONS,PREDICTED_IMPRESSIONS
2024-01-26,0,1,86,121.48233
2024-01-26,1,1,62,87.430435
2024-01-26,2,1,50,76.11201
2024-01-26,3,1,53,78.87977
2024-01-26,4,1,57,82.438446
2024-01-26,5,1,169,181.81012
2024-01-26,6,1,305,306.7301
2024-01-26,7,1,392,355.1886
2024-01-26,8,1,345,358.64044
2024-01-26,9,1,329,338.69632
2024-01-26,10,1,306,308.83096
2024-01-26,11,1,338,315.90356
2024-01-26,12,1,359,358.06512
2024-01-26,13,1,424,364.20074
2024-01-26,14,1,362,379.52747
2024-01-26,15,1,419,399.02432
2024-01-26,16,1,419,407.03128
2024-01-26,17,1,450,426.97736
2024-01-26,18,1,418,387.94556
2024-01-26,19,1,418,445.8566
2024-01-26,20,1,416,401.31345
2024-01-26,21,1,371,364.009
2024-01-26,22,1,289,298.9078
2024-01-26,23,1,169,173.11151
2024-01-27,0,1,304,273.26855
2024-01-27,1,1,170,212.70877
2024-01-27,2,1,138,159.07497
2024-01-27,3,1,129,160.8179
2024-01-27,4,1,99,104.45805
2024-01-27,5,1,100,116.68983
2024-01-27,6,1,185,198.15387
2024-01-27,7,1,305,254.42935
2024-01-27,8,1,372,373.59103
2024-01-27,9,1,489,496.07095
2024-01-27,10,1,567,548.40356
2024-01-27,11,1,608,614.667
2024-01-27,12,1,617,659.4442
2024-01-27,13,1,653,610.48706
2024-01-27,14,1,684,611.32446
2024-01-27,15,1,660,582.4614
2024-01-27,16,1,645,637.5377
2024-01-27,17,1,570,613.8324
2024-01-27,18,1,590,606.28937
2024-01-27,19,1,517,491.93585
2024-01-27,20,1,389,458.0549
2024-01-27,21,1,384,393.67874
2024-01-27,22,1,368,391.76828
2024-01-27,23,1,325,317.05127
2024-01-28,0,1,258,267.6012
2024-01-28,1,1,195,195.4437
2024-01-28,2,1,119,160.8179
2024-01-28,3,1,138,120.81924
2024-01-28,4,1,92,109.3222
2024-01-28,5,1,125,119.99131
2024-01-28,6,1,184,188.24728
2024-01-28,7,1,274,322.7927
2024-01-28,8,1,384,381.25015
2024-01-28,9,1,504,484.0986
2024-01-28,10,1,587,532.36523
2024-01-28,11,1,587,649.0626
2024-01-28,12,1,659,636.11206
2024-01-28,13,1,691,633.6628
2024-01-28,14,1,623,648.2588
2024-01-28,15,1,620,558.9863
2024-01-28,16,1,639,583.32166
2024-01-28,17,1,612,587.6126
2024-01-28,18,1,593,577.2861
2024-01-28,19,1,510,487.79095
2024-01-28,20,1,447,433.5994
2024-01-28,21,1,406,378.37878
2024-01-28,22,1,438,379.336
2024-01-28,23,1,371,326.62265
2024-01-29,0,1,103,111.76863
2024-01-29,1,1,74,77.647766
2024-01-29,2,1,40,81.50771
2024-01-29,3,1,31,67.75036
2024-01-29,4,1,62,83.83767
2024-01-29,5,1,177,195.4437
2024-01-29,6,1,293,309.40408
2024-01-29,7,1,367,342.91467
2024-01-29,8,1,338,371.6752
2024-01-29,9,1,353,298.9078
2024-01-29,10,1,327,297.9548
2024-01-29,11,1,308,310.3594
2024-01-29,12,1,342,390.81284
2024-01-29,13,1,367,364.009
2024-01-29,14,1,402,387.94556
2024-01-29,15,1,410,398.4518
2024-01-29,16,1,403,420.81567
2024-01-29,17,1,432,429.81714
2024-01-29,18,1,464,440.20633
2024-01-29,19,1,422,412.50357
2024-01-29,20,1,445,374.5488
2024-01-29,21,1,359,359.21573
2024-01-29,22,1,340,294.14517
2024-01-29,23,1,164,151.27455
2024-01-30,0,1,85,121.31648
2024-01-30,1,1,62,85.39675
2024-01-30,2,1,68,74.886795
2024-01-30,3,1,56,72.597725
2024-01-30,4,1,62,80.578674
2024-01-30,5,1,148,184.84511
2024-01-30,6,1,315,308.06693
2024-01-30,7,1,383,352.12018
2024-01-30,8,1,390,357.68164
2024-01-30,9,1,343,337.9294
2024-01-30,10,1,309,310.5505
2024-01-30,11,1,316,331.7956
2024-01-30,12,1,368,357.48987
2024-01-30,13,1,380,386.03326
2024-01-30,14,1,410,388.90152
2024-01-30,15,1,423,385.2682
2024-01-30,16,1,406,399.40585
2024-01-30,17,1,405,400.169
2024-01-30,18,1,459,469.25708
2024-01-30,19,1,417,422.42834
2024-01-30,20,1,397,380.29315
2024-01-30,21,1,401,373.59103
2024-01-30,22,1,323,271.37805
2024-01-30,23,1,181,168.70253
2024-01-31,0,1,100,114.22454
2024-01-31,1,1,77,90.10151
2024-01-31,2,1,55,73.81724
2024-01-31,3,1,49,74.58098
2024-01-31,4,1,66,81.50771
2024-01-31,5,1,188,166.06686
2024-01-31,6,1,295,315.13855
2024-01-31,7,1,374,368.80093
2024-01-31,8,1,377,364.009
2024-01-31,9,1,334,320.87842
2024-01-31,10,1,307,324.7075
2024-01-31,11,1,345,283.68948
2024-01-31,12,1,362,347.70905
2024-01-31,13,1,371,392.7236
2024-01-31,14,1,386,379.336
2024-01-31,15,1,388,389.85727
2024-01-31,16,1,395,384.50305
2024-01-31,17,1,385,426.03015
2024-01-31,18,1,413,411.7902
2024-01-31,19,1,407,413.88232
2024-01-31,20,1,429,427.92422
2024-01-31,21,1,342,359.21573
2024-01-31,22,1,305,294.14517
2024-01-31,23,1,156,159.07497
2024-02-01,0,1,107,114.22454
2024-02-01,1,1,62,70.77419
2024-02-01,2,1,48,77.647766
2024-02-01,3,1,45,70.01643
2024-02-01,4,1,56,79.96022
2024-02-01,5,1,180,202.68439
2024-02-01,6,1,313,316.09485
2024-02-01,7,1,359,377.42145
2024-02-01,8,1,364,394.63373
2024-02-01,9,1,344,326.62265
2024-02-01,10,1,315,299.861
2024-02-01,11,1,337,294.14517
2024-02-01,12,1,364,350.58585
2024-02-01,13,1,394,366.88437
2024-02-01,14,1,397,389.475
2024-02-01,15,1,393,399.40585
2024-02-01,16,1,408,403.9827
2024-02-01,17,1,409,426.78793
2024-02-01,18,1,441,421.29007
2024-02-01,19,1,432,428.68146
2024-02-01,20,1,403,408.36438
2024-02-01,21,1,351,359.21573
2024-02-01,22,1,288,288.0
2024-02-01,23,1,160,160.0
