WEEKDAY,PRODID,HOUR,PREDICTED_IMPRESSIONS
Friday,1,0,103.33333333333333
Friday,1,1,64.16666666666667
Friday,1,2,50.0
Friday,1,3,53.5
Friday,1,4,58.0
Friday,1,5,175.5
Friday,1,6,310.1666666666667
Friday,1,7,366.8333333333333
Friday,1,8,362.0
Friday,1,9,342.0
Friday,1,10,312.1666666666667
Friday,1,11,323.6666666666667
Friday,1,12,363.8333333333333
Friday,1,13,380.0
Friday,1,14,383.0
Friday,1,15,409.5
Friday,1,16,424.6666666666667
Friday,1,17,430.14285714285717
Friday,1,18,425.42857142857144
Friday,1,19,436.8333333333333
Friday,1,20,390.0
Friday,1,21,374.2857142857143
Friday,1,22,290.7142857142857
Friday,1,23,173.57142857142858
Friday,2,0,257.0
Friday,2,1,159.33333333333334
Friday,2,2,137.0
Friday,2,3,105.0
Friday,2,4,156.5
Friday,2,5,412.6666666666667
Friday,2,6,752.8333333333334
Friday,2,7,877.8333333333334
Friday,2,8,874.8333333333334
Friday,2,9,817.1666666666666
Friday,2,10,779.6666666666666
Friday,2,11,801.1666666666666
Friday,2,12,907.5
Friday,2,13,905.8333333333334
Friday,2,14,925.8333333333334
Friday,2,15,1064.6666666666667
Friday,2,16,1055.6666666666667
Friday,2,17,1032.5714285714287
Friday,2,18,1093.4285714285713
Friday,2,19,1106.3333333333333
Friday,2,20,1001.8571428571429
Friday,2,21,889.4285714285714
Friday,2,22,771.5714285714286
Friday,2,23,385.42857142857144
Friday,3,0,413.6666666666667
Friday,3,1,256.0
Friday,3,2,198.16666666666666
Friday,3,3,178.83333333333334
Friday,3,4,225.5
Friday,3,5,724.3333333333334
Friday,3,6,1162.5
Friday,3,7,1528.8333333333333
Friday,3,8,1551.6666666666667
Friday,3,9,1345.8333333333333
Friday,3,10,1258.8333333333333
Friday,3,11,1339.6666666666667
Friday,3,12,1390.1666666666667
Friday,3,13,1429.8333333333333
Friday,3,14,1455.3333333333333
Friday,3,15,1732.1666666666667
Friday,3,16,1542.5
Friday,3,17,1714.7142857142858
Friday,3,18,1786.5714285714287
Friday,3,19,1599.0
Friday,3,20,1701.4285714285713
Friday,3,21,1457.5714285714287
Friday,3,22,1225.4285714285713
Friday,3,23,621.4285714285714
Monday,1,0,96.4
Monday,1,1,62.4
Monday,1,2,52.8
Monday,1,3,39.4
Monday,1,4,66.6
Monday,1,5,175.8
Monday,1,6,309.0
Monday,1,7,368.2
Monday,1,8,364.0
Monday,1,9,338.6
Monday,1,10,316.6
Monday,1,11,321.8
Monday,1,12,378.4
Monday,1,13,390.8
Monday,1,14,387.4
Monday,1,15,411.2
Monday,1,16,430.5
Monday,1,17,426.2
Monday,1,18,447.8
Monday,1,19,421.75
Monday,1,20,388.2
Monday,1,21,366.6
Monday,1,22,297.4
Monday,1,23,153.4
Monday,2,0,260.6
Monday,2,1,161.0
Monday,2,2,134.8
Monday,2,3,109.2
Monday,2,4,157.2
Monday,2,5,402.6
Monday,2,6,761.0
Monday,2,7,896.8
Monday,2,8,868.6
Monday,2,9,876.4
Monday,2,10,778.6
Monday,2,11,827.0
Monday,2,12,887.0
Monday,2,13,933.0
Monday,2,14,958.0
Monday,2,15,1094.4
Monday,2,16,1044.25
Monday,2,17,1097.8
Monday,2,18,1158.6
Monday,2,19,1027.0
Monday,2,20,1039.6
Monday,2,21,884.2
Monday,2,22,731.4
Monday,2,23,413.6
Monday,3,0,388.4
Monday,3,1,235.0
Monday,3,2,218.2
Monday,3,3,164.2
Monday,3,4,245.2
Monday,3,5,681.6
Monday,3,6,1365.0
Monday,3,7,1502.4
Monday,3,8,1504.6
Monday,3,9,1449.0
Monday,3,10,1283.6
Monday,3,11,1359.4
Monday,3,12,1655.4
Monday,3,13,1274.2
Monday,3,14,1463.6
Monday,3,15,1780.4
Monday,3,16,1766.75
Monday,3,17,1755.4
Monday,3,18,1814.8
Monday,3,19,1697.25
Monday,3,20,1681.2
Monday,3,21,1351.6
Monday,3,22,1139.4
Monday,3,23,602.8
Saturday,1,0,278.8333333333333
Saturday,1,1,190.0
Saturday,1,2,148.0
Saturday,1,3,132.83333333333334
Saturday,1,4,84.0
Saturday,1,5,118.16666666666667
Saturday,1,6,189.5
Saturday,1,7,286.8333333333333
