ADVID,DATE,HOUR,PRODID,IMPRESSIONS,POSITION,BID,CLICKS,COST,BOOKINGS,REVENUE,BUDGET,PRICE,DAY,WEEK,CR,CTR,WEEKDAY
3,2023-12-12,0,1,115,1.0,8.73,22,191.16,2,200,6999559.76,100,0,0,0.09090909090909091,0.19130434782608696,Tuesday
3,2023-12-12,0,2,234,3.0,4.41,11,48.33,0,0,6999559.76,80,0,0,0.0,0.04700854700854701,Tuesday
3,2023-12-12,0,3,376,1.0,3.0,67,200.75,0,0,6999559.76,70,0,0,0.0,0.17819148936170212,Tuesday
3,2023-12-12,1,1,55,2.0,8.71,5,43.43,0,0,6999376.25,100,0,0,0.0,0.09090909090909091,Tuesday
3,2023-12-12,1,2,147,4.0,4.4,6,26.22,0,0,6999376.25,80,0,0,0.0,0.04081632653061224,Tuesday
3,2023-12-12,1,3,240,1.0,3.0,38,113.86,1,70,6999376.25,70,0,0,0.02631578947368421,0.15833333333333333,Tuesday
3,2023-12-12,2,1,48,2.0,8.64,5,43.15,0,0,6999121.04,100,0,0,0.0,0.10416666666666667,Tuesday
3,2023-12-12,2,2,115,1.0,4.41,23,101.26,1,80,6999121.04,80,0,0,0.043478260869565216,0.2,Tuesday
3,2023-12-12,2,3,244,1.0,3.0,37,110.8,0,0,6999121.04,70,0,0,0.0,0.15163934426229508,Tuesday
3,2023-12-12,3,1,41,1.0,8.74,9,78.61,0,0,6998969.32,100,0,0,0.0,0.21951219512195122,Tuesday
3,2023-12-12,3,2,104,2.0,4.4,16,70.15,1,80,6998969.32,80,0,0,0.0625,0.15384615384615385,Tuesday
3,2023-12-12,3,3,132,4.0,2.97,1,2.96,0,0,6998969.32,70,0,0,0.0,0.007575757575757576,Tuesday
3,2023-12-12,4,1,47,2.0,8.64,8,69.05,0,0,6998801.87,100,0,0,0.0,0.1702127659574468,Tuesday
3,2023-12-12,4,2,148,2.0,4.4,19,83.6,0,0,6998801.87,80,0,0,0.0,0.12837837837837837,Tuesday
